observation_date,BAMLCC0A0CMTRIV,DGS10,CSUSHPINSA,SP500,Party
1/1/1987,357.67,8.83,68.342,5.25,R
1/1/1988,392.57,9.14,73.277,16.61,R
1/1/1989,447.98,7.93,76.497,31.69,R
1/1/1990,481,8.08,75.972,-3.1,R
1/1/1991,568.73,6.71,75.843,30.47,R
1/1/1992,620.59,6.7,76.464,7.62,R
1/1/1993,697.73,5.83,78.113,10.08,D
1/1/1994,674.41,7.84,80.078,1.32,D
1/1/1995,819.75,5.58,81.513,37.58,D
1/1/1996,847.54,6.43,83.49,22.96,D
1/1/1997,935.57,5.75,86.848,33.36,D
1/1/1998,1017.16,4.65,92.443,28.58,D
1/1/1999,997.97,6.45,99.542,21.04,D
1/1/2000,1089.13,5.12,108.792,-9.1,D
1/1/2001,1205.7,5.07,116.055,-11.89,R
1/1/2002,1328.32,3.83,127.151,-22.1,R
1/1/2003,1438.7,4.27,139.629,28.68,R
1/1/2004,1516.6,4.24,158.672,10.88,R
1/1/2005,1546.51,4.39,180.108,4.91,R
1/1/2006,1614.19,4.71,183.229,15.79,R
1/1/2007,1689.14,4.04,173.336,5.49,R
1/1/2008,1573.98,2.25,152.544,-37,R
1/1/2009,1885,3.85,146.665,26.46,D
1/1/2010,2064.45,3.3,140.626,15.06,D
1/1/2011,2219.45,1.89,135.162,2.11,D
1/1/2012,2449.56,1.78,143.861,16,D
1/1/2013,2413.9,3.04,159.281,32.39,D
1/1/2014,2595.28,2.17,166.454,13.69,D
1/1/2015,2578.89,2.27,175.101,1.38,D
1/1/2016,2732.66,2.45,184.391,11.96,D
1/1/2017,2909.64,2.4,195.836,21.83,R
1/1/2018,2844.18,2.69,204.683,-4.38,R
1/1/2019,3249.02,1.92,212.226,31.49,R
1/1/2020,3567.63,0.93,234.354,18.4,R
1/1/2021,3533.73,1.52,278.564,28.71,D
1/1/2022,2987.97,3.88,294.307,-18.11,D
1/1/2023,3238.89,3.88,311.018,26.29,D
